customer,Product
HONDA,16236-GBG-9001
HONDA,16236-KFV-M201
HONDA,28117-KFL-8501
HONDA,31141-141-8602
HONDA,32962-GGZ-J400
MUSASHI,90428KVB501
HONDA,90435-HB3-0002
HONDA,90439-443-7401
HONDA,90441-286-0002
HONDA,90441-KRM-8404
HONDA,90441-ME9-0002
HONDA,90442-GF6-0101
HONDA,90443-GF6-0102
HONDA,90454-MC7-0001
HONDA,90483-041-0003
HONDA,90485-286-0003
HONDA,90545-300-0002
HONDA,90557-230-0002
TOSHIBA,M9459824P307-BRG-F
TOSHIBA,M9459824P308-BRG-F
HARADA,3M110625A00
HARADA,3M110631A00
HARADA,3W110067A00
HARADA,3W160598A00
HARADA,3W160576A00
HARADA,3W110081A00
MEGGITT,694658AF20
MEGGITT,694671AF20
MEGGITT,EKD 883461
MEGGITT,EKD 870371
MEGGITT,694633F250
MEGGITT,694795AD35
MEGGITT,694507U500
MEGGITT,694056U500
MEGGITT,694817U500
MEGGITT,694818U50
MEGGITT,694819U500
TOA,1012154200
TOA,1013537150
TOA,1023196350
TOA,101250021200
JUKI,400353310X0
JUKI,400353430X0
JUKI,400273650X0
JUKI,400515020X0
JUKI,400514990X0
JUKI,400353440X0
JUKI,400364770X0
JUKI,400353700X0
JUKI,400353690X0
JUKI,40157600
JUKI,400353470X0
JUKI,400353420X0
JUKI,400353350X0
JUKI,400353550X0
JUKI,400353820X0
JUKI,400353540X0 
JUKI,400353710X0
JUKI,400353330X0
JUKI,400353570X0
JUKI,400353450X0
JUKI,400353720X0
JUKI,400353560X0
JUKI,400353810X0
JUKI,400353460X0
JUKI,400353590X0
JUKI,400353760X0
JUKI,400353610X0
JUKI,400353740X0
JUKI,400353580X0
JUKI,400353340X0
JUKI,400353680X0
JUKI,400408430X0
JUKI,400353380X0
JUKI,400353370X0
DAIWA,6E2675010
SUZUKI,09160-08121V
SUZUKI,08331-41409
SUZUKI,09160-10085
Akiba Coating&Technology,SH1-BT(910308-B103-003)
SUMITOMO,MQ908WW-02
AIPHONE,S1100120
AIPHONE,S1100190
AIPHONE,H1100201
AIPHONE,S1100202
AIPHONE,S2001750
AIPHONE,S1100290
AIPHONE,S1100440
AIPHONE,S1100510
NIDEC SEIMITSU,T04323402
SHIOGAI SEIKI,HP-01
SHIOGAI SEIKI,HP-02
SHIOGAI SEIKI,201048-KVN-1
TENMA,FIXED BRACKET L TJU0Y0014973
TENMA,FIXED BRACKET R TJU0Y0014974
TENMA,FIXED PLATE TJU0Y0014975
TENMA,UNIT BRACKET TJU0Y0013646P001
JABIL,296131614
PARAMOUNT BED,3F-103462
PARAMOUNT BED,3F-103501
PARAMOUNT BED,3K01638900A3
GW,FACEPPLATE1-I4XX
GW,FACEPPLATE2-I4XX
GW,FACEPPLATE3-I4XX
WERNER,RS33054(Bên Trái)
WERNER,RS33054(Bên ph?i)
WERNER,RS32187
WERNER,300372-01(Right)
WERNER,300372-02(Left)
SKM,WL9373-D
KYODENSHA,Making new (Gia´ dê? diê?n Thoa?i)
TONG HAI,0060137819
TONG HAI,0060137842
AQUA,Ø10
AQUA,0060134935
AQUA,0060134936
AQUA,0060134939
AQUA,0060134937
AQUA,0060134938
AQUA,0060135981
AQUA,0060866885
AQUA,0060132185
AQUA,0060136412
AQUA,0060135977
AQUA,0060135978
AQUA,0060136392
AQUA,0060136367
AQUA,0060136421
AQUA,0060137473
AQUA,0060137474
AQUA,0060137470
AQUA,0060886252
AQUA,0060137467
AQUA,0060886246
AQUA,0060884981
AQUA,0060886273
AQUA,0060885719
AQUA,0060137819
AQUA,0060137842
AQUA,0060135353
AQUA,0060135354
AQUA,0060135355
AQUA,0060135356
AQUA,0060135325
AQUA,0060135357
AQUA,0060242785
AQUA,0060242787
AQUA,0060860890
AQUA,0060860894
AQUA,0060860891
AQUA,0060860895
AQUA,0060860892
AQUA,0060860896
AQUA,0060125918
AQUA,0060131239
AQUA,0060859933
AQUA,0060134940
AQUA,0060125912
AQUA,0060135615
AQUA,0060135623
AQUA,0060135617
AQUA,0060135612
AQUA,0060135704
AQUA,0060135622
UENO TEKKO,CCS16-55802
ASTI,W2406-38100
BELMONT,1A0CDYAA
BELMONT,1A11FVA0
BELMONT,AAEJ83A0
BELMONT,DACB23BA
TYS,Nguyên li?u 1.0
TYS,Nguyên Li?u 0.8
MK.SEIKO,HB-D128Y0
FUKUYAMA GOSEI,SMA03B-H0017C
FUKUYAMA GOSEI,A2194001
FUKUYAMA GOSEI,C2393003
FUKUYAMA GOSEI,PNJSC-0093-71-36B
FUKUYAMA GOSEI,SMN01B - H0036A
FUKUYAMA GOSEI,C2393023Y
MK.SEIKO,HB-D031S1
FUJI,E0193A
FUJI,E0193C
FUJI,P2030 
FUJI,E0064C
FUJI,E0029
FUJI,E0129
VMEP,11108-H66-0100
FUJIKURA,CAS0435
FUJIKURA,
KURABE,V7301995
KURABE,V7301996
KURABE,V7301997
KURABE,V7301998
Công ty TNHH NIDEC ADVANCED MOTOR (VI?T NAM),UE03357F02
FUJIYA,90CS-125
FUJIYA, 90CS-150
FUJIYA, 90CS-150
BROTHER,XC2609120
BROTHER,XH4779001
BROTHER,XH4826001
BROTHER,XH4830001
BROTHER,XH4795001
BROTHER,D00WCD101
BROTHER,D00SF0001
BROTHER,D00NS9001
BROTHER,D00N4J001
BROTHER,D00NHP001
BROTHER,XF5221001
BROTHER,XF5268101
BROTHER,D01VGB001
BROTHER,D01VGC001
BROTHER,D01VGD001
BROTHER,D01VGE001
BROTHER,D01X61001
BROTHER,XF5273001
BROTHER,XF5282101
BROTHER,D018J5001
BROTHER,XG3004001
BROTHER,XF5278001
BROTHER,D027J6001
BROTHER,D02FD3001
BROTHER,D02FD4001
BROTHER,D02FDS001
BROTHER,D02GWN001
BROTHER,D02GWP001
BROTHER,D02J0S001
BROTHER,D02MFX001
BROTHER,D034G2001
NIDEC SEIMITSU,T04323402
TIGER,JKD1436 -1
TIGER,JKD1465 -1
TAKAZONO,FAWBC-027
TAKAZONO,DG2F-302A-A
TAKAZONO,DG2F-302A-B
FUJIMAK,PO32068V00
FUJIMAK,PC51101V30
FUJIMAK,PC51102V30
FUJIMAK,PC51103V30
FUJIMAK,PC51104V30
FUJIMAK,PC51105V30
FUJIMAK,PC51106V30
FUJIMAK,PC51116V30
FUJIMAK,BV217382V01
FUJIMAK,BV217386V01
FUJIMAK,BV217388V01
FUJIMAK,BV217387V01
FUJIMAK,BV217384V01
FUJIMAK,BV217383V01
FUJIMAK,BV217385V01
FUJIMAK,V310018
FUJIMAK,BV220110-A01
SOWELL,A-138-11-01
SHENG BANG,PX-BDE1200(B)-02
SHENG BANG,PL0385-01
SHENG BANG,PL0389-04
SHENG BANG,PL0470-01
SHENG BANG,PL0471-02
SHENG BANG,PL0393-04
SHENG BANG,PL0415(D)-04
SHENG BANG,PL0416(D)-04
SHENG BANG,PL0466-03
SHENG BANG,PL0464
SHENG BANG,PL0415(LG)-04
SHENG BANG,PL0416(LG)-04
SHENG BANG,PL0401-01
SHENG BANG,PL0402-01
SHENG BANG,PL0430(W)-03
SHENG BANG,PL0427-03
SHENG BANG,PL0387-02
SHENG BANG,PL0388-03
SHARP(Vi?t nam),LANGK5628TPZ1V (BEZEL)
SHARP(Vi?t nam),LANGK5628TPZZV (BEZEL)
KYOKUTO,W2550107H-T1
FUJIKURA JAPAN,014321-001
FUJIKURA JAPAN,014322-001
FUJIKURA JAPAN,014383-001
AQUA,0060134942
AQUA,0060134941
AQUA,0060880990
YUUKI,ARAJEA200012
YUUKI,ARAJEA200040ARAJEA200041
TOSHIBA,M9459825P001-BRG-F
TOSHIBA,M9459825P002-BRG-F
TOSHIBA,M9459825P003-BRG-F
TOSHIBA,M9459825P004-BRG-F
TOSHIBA,M9459825P005-BRG-F
TOSHIBA,M9459821P001-GD-P
TOSHIBA,M9459821P002-GD-P
TOSHIBA,K9459027P001-S-W
TOSHIBA,K9459027P002-S-W
TOSHIBA,K9459026P001-CUP-W
TOSHIBA,K9459026P002-CUP-W
TOSHIBA,K9459006P001-BA-PIEC
TOSHIBA,K9459006P002-BA-PIEC
TOSHIBA,K9459006P003-BA-PIEC
TOSHIBA,K9459006P004-BA-PIEC
TOSHIBA,K9459006P005-BA-PIEC
TOSHIBA,K9459007P003-BA-PIEC
TOSHIBA,K9459008P003-BA-PIEC
TOSHIBA,K9459008P004-BA-PIEC
TOSHIBA,K9459008P005-BA-PIEC
TOSHIBA,K9459006P006-BA-PIEC
TOSHIBA,K9459006P008-BA-PIEC
TOSHIBA,K9459006P009-BA-PIEC
TOSHIBA,K9459006P010-BA-PIEC
TOSHIBA,K9459006P011-BA-PIEC
TOSHIBA,K9459006P012-BA-PIEC
TOSHIBA,K9459006P013-BA-PIEC
TOSHIBA,K9459006P014-BA-PIEC
TOSHIBA,K9459006P015-BA-PIEC
TOSHIBA,K9459007P001-BA-PIEC
TOSHIBA,K9459007P002-BA-PIEC
TOSHIBA,K9459008P001-BA-PIEC
TOSHIBA,K9459008P002-BA-PIEC
TOSHIBA,K9459008P006-BA-PIEC
TOSHIBA,K9459008P007-BA-PIEC
TOSHIBA,M9459822P001-GD-P
TOSHIBA,M9459822P002-GD-P
TOSHIBA,K9459011P001-CSTR-S
TOSHIBA,K9459011P002-CSTR-S
TOSHIBA,K9459011P003-CSTR-S
TOSHIBA,K9459008P008-BA-PIEC
TOSHIBA,K9459008P009-BA-PIEC
TOSHIBA,K9459065P001-SHRT-P
TOSHIBA,M9459821P012-GD-P
TOSHIBA,TRD-M9459821P012-GD-P
TOSHIBA,K9459058P003-SHRT-P
TOSHIBA,K9459058P002-SHRT-P
TOSHIBA,K9459058P001-SHRT-P
TOSHIBA,M9459821P013-GD-P
TOSHIBA,4AFZ001075P001-SHRT
TOSHIBA,K9459012P003-SHRT-P
TOSHIBA,M9453770P001-GD-P
TOSHIBA,M9459824P207-BRG-F
TOSHIBA,M9459824P306-BRG-F
TOSHIBA,K9459006P016-BA-PIEC
TOSHIBA,K9459007P005-BA-PIEC
TOSHIBA,48S-CSTR-S(K9459011P004-CSTR-S)
TOSHIBA,58S-CSTR-S(K9459011P005-CSTR-S)
TOSHIBA,M0900155P001-GD-P
TOSHIBA,M0900154P001-GD-P
TOSHIBA,4AFN000664P001
TOSHIBA,4AFN000665P001
TOSHIBA,K7303158P004-SPC
TOSHIBA,K7303158P016-SPC
TOSHIBA,K9459012P006-BRG-F
TOSHIBA,K7303158P010-SPC
TOSHIBA,K7303158P002-SPC
TOSHIBA,TRD-K7619100P002-BRG-F
TOSHIBA,TRD-K7619100P003-BRG-F
TOSHIBA,TRD-K7619100P004-BRG-F
TOSHIBA,V47301011
TOSHIBA,TRD-K7027815P018
TOSHIBA,M9459824P309-BRG-F
TOSHIBA,M9459824P203-BRG-F
TOSHIBA,M9459818P001-FANCOV
TOSHIBA,M9459824P310-BRG-F
TOSHIBA,K9459077P002-CAP
TOSHIBA,K9459077P003-CAP
TOSHIBA,K9459077P004-CAP
TOSHIBA,M9459824P305-BRG-F
TOSHIBA,M9453809P001-FANCOV
TOSHIBA,TRD-M9453809P001-FANCOV
TOSHIBA,M9453810P001-FANCOV
TOSHIBA,TRD-M9453810P001-FANCOV
TOSHIBA,M9459824P605-BRG-F
TOSHIBA,K9459012P004-BRG-F
HARADA PHILIPPIN,2N301518A00
HARADA,3M161448A00
HARADA,3M161449A00
HARADA,3M161450A00
HARADA,4-113459B00
HARADA,3M110434A00
HARADA,3W120120A00
HARADA,3W110122A00
HARADA,2M110442C00
HARADA,3M110142A00
HARADA,3M110142B00
HARADA,3M110089A00
HARADA,4M110174A00
HARADA,3M110406A00
HARADA,4-112890C00
HARADA,4-160577A00
HARADA,4-160577B00
HARADA,4-112782A00
HARADA,4-112782D00
HARADA,4W160163A00
HARADA,4M110577A00
HARADA,3M120557A00
HARADA,4M161218A00
HARADA,2W110218A00
HARADA,4W110044A00
HARADA,4M110627A00
HARADA,4-160680A00
HARADA,4-160680B00
HARADA,3M110629A00
HARADA,3M110583A00
HARADA,3W110065A00
HARADA,4W160503A00
HARADA,3W160596A00
HARADA,4W160574A00
HARADA,2W110087A00
HARADA,3W120568A00
HARADA,4W120067A00
HARADA,2W120075A00
HARADA,2W120077A00
HARADA,4W120095A00
HARADA,3W110098A00
HARADA,3W110115A00
HARADA,3W300009A00
HARADA,3W110124A00
HARADA,3W650027A00
HARADA,2W650016A00
HARADA,4W120029A00
HARADA,3W650023A00
HARADA,2W650018A00
HARADA,2W300022A00
HARADA,2W300023A00
HARADA,2W300025A00
HARADA,2W300026A00
HARADA,3W120160A00
HARADA,4W120161A00
HARADA,3W650049A00
HARADA,2W120531A00
HARADA,2W120044A00
HARADA,3W650055A00
HARADA,3W163055A00
HARADA,2W163056A00
HARADA,2W163057A00
HARADA,2W650367A00
HARADA,2W161126A00
HARADA,3W650060A00
HARADA,3W650061A00
HARADA,3W650062A00
HARADA,3W650063A00
HARADA,3W650078A00
HARADA,2W650081A00
HARADA,3W650107A00
HARADA,3W650074A00
HARADA,3W650109A00
HARADA,2W120683A00
HARADA,4W650086A00
HARADA,4W650087A00
HARADA,4M161471A00
HARADA,3M110073B00
HARADA,4M119120A00
HARADA,4W120256A00
HARADA,2W300046A00
HARADA,2W161127A00
HARADA,3W120289A00
HARADA,3W300097A00
HARADA,3W161443A00
HARADA,2W120361A00
HARADA,3W120424A00
HARADA,3W120425A00
HARADA,2W120434A00
HARADA,3W120437A00
HARADA,2W120421A00
HARADA,3W120422A00
HARADA,3W120423A00
HARADA,2W650283A00
HARADA,3W650265A00
HARADA,3W650275A00
HARADA,3W300191A00
HARADA,2W120191A00
HARADA,3W650304A00
HARADA,1W110199A00
HARADA,3W650327A00
HARADA,3W650325A00
HARADA,3W650328A00
HARADA,3W650326A00
HARADA,3W650296A00
HARADA,3W650332A00
HARADA,3W650345A00
HARADA,3W650412A00
HARADA,3W120533A00
HARADA,3W650343A00
HARADA,3W650343B00
HARADA,3W110208A00
HARADA,4W162442A00
HARADA,2W162440A00
HARADA,2W650344A00
HARADA,2W110225A00
HARADA,2W650484A00 
HARADA,3W162601A00
HARADA,3W650536A00
HARADA,2W300271A00
HARADA,3W162851A00
HARADA,3J650052A00
HARADA,3W650564A00
HARADA,2W650565A00 
HARADA,3W650515A00
HARADA,3W650516A00
HARADA,2W650514A00
HARADA,3W650547A00
HARADA,4W110080A00
HARADA,2W300270A00
HONDA,32961-KFL-8500
HONDA,16236-KWY-A300
HONDA,94101-05000
HONDA,94103-05700
HONDA,14775-KFM-9000
HONDA,90412-KZL-8401
HONDA,90502-KWN-6700
HONDA,32961-GGZ-J000
HONDA,32965-GGZ-J000
HONDA,32962-GJA-J000
HONDA,94103-08200
HONDA,90426-KWZ-900
HONDA,32921-039-0001
HONDA,94101-08000
HONDA,94101-10000
HONDA,94103-06000
HONDA,90401-GJK-J000
HONDA,53216-GJR-N000
HONDA,90401-K0J-N000
MEGGITT,694683AD35
MEGGITT,694094AB50
MEGGITT,694113U500
MEGGITT,694133U500
MEGGITT,694185U501
MEGGITT,694215U500
MEGGITT,694248AB50
MEGGITT,694371AD35
MEGGITT,694371AF20
MEGGITT,694474AH35
MEGGITT,694505AD35
MEGGITT,694593AD35
MEGGITT,694608U500
MEGGITT,J568150021
MEGGITT,694623AD35
MEGGITT,694644AF20
MEGGITT,694645AD35
MEGGITT,694654AB50
MEGGITT,694659AH35
MEGGITT,694688AF20
MEGGITT,694694AF20
MEGGITT,694702AH35
MEGGITT,694704AD35
MEGGITT,694705AF20
MEGGITT,694712AD35
MEGGITT,694714AD35
MEGGITT,694717AF20
MEGGITT,694634AD35
MEGGITT,694635AD35
MEGGITT,694706AF20
MEGGITT,694737AH35
MEGGITT,694730U500
MEGGITT,694731U500
MEGGITT,694705U500
MEGGITT,694669AF20
MEGGITT,694703AH35
MEGGITT,694763AF20
MEGGITT,694762AF20
MEGGITT,694772AD35
MEGGITT,694702U500
MEGGITT,694761AF20
MEGGITT,4618191008
MEGGITT,694797AF20
MEGGITT,694625U500
MEGGITT,694664AB50
MEGGITT,694684AB50
MEGGITT,694727AH35
MEGGITT,694783AB50
MEGGITT,694655U501
MEGGITT,694656U501
MEGGITT,694657U500
MEGGITT,694671U500
MEGGITT,694693U500
MEGGITT,694703U500
MEGGITT,694588U500
MEGGITT,694483U500
MEGGITT,694746AH35
MEGGITT,694718U500
MEGGITT,694673U500
MEGGITT,694603AB50
MEGGITT,694706U500
MEGGITT,694742AH35
MEGGITT,694669AH35
MEGGITT,694716U500
MEGGITT,694759AH35
MEGGITT,694769AF20
MEGGITT,694780AF20
MEGGITT,694309U500
MEGGITT,676202251
MEGGITT,694676AF20
MEGGITT,694785U500
MEGGITT,694613AD35
MEGGITT,694080U500
MEGGITT,694667AD35
MEGGITT,694793AH35
MEGGITT,694491U500
MEGGITT,694408AH35
MEGGITT,694797AH35
MEGGITT,694786AF20
MEGGITT,694213U500
MEGGITT,694690AD35
MEGGITT,694801AD35
MEGGITT,694254U500
MEGGITT,694482AH35
MEGGITT,694207AH35
MEGGITT,694249U500
MEGGITT,694222U500
MEGGITT,694061AD35
MEGGITT,694253U501
MEGGITT,694093U500
MEGGITT,694675U500
MEGGITT,694810AF20
MEGGITT,694062U500
MEGGITT,R618190005
MEGGITT,694812AF20
MEGGITT,694292AB50
MEGGITT,694376AD35
MEGGITT,694651AH35
MEGGITT,694683AF20
MEGGITT,49535010101
MEGGITT,49535010101
MEGGITT,49535020102
MEGGITT,49535020103
MEGGITT,4953502010101
MEGGITT,4953502010101
MEGGITT,694489AD35
MEGGITT,6960C41786
TOA,1023222200
TOA,1023226620
TOA,1023228820
TOA,1023228990
TOA,1240434280
TOA,1023262240
TOA,1255125830
TOA,101010015801
TOA,1013100730
TOA,102326239A
TOA,101090000100
JUKI,400338010X0
JUKI,400266170X0
JUKI,400346650X0
JUKI,400328360X0
JUKI,400328380X0
JUKI,400232180X0
JUKI,400232060X0
JUKI,400266200X0
JUKI,400266100X0
JUKI,400232070X0
JUKI,400346620X0
JUKI,400348240X0
JUKI,400380250X0
JUKI,400398910X0
JUKI,400348100X0
JUKI,400266090X0
JUKI,400347920X0
JUKI,400232150X0
JUKI,400348230X0
JUKI,400381010X0
JUKI,400266210X0
JUKI,400348200X0
JUKI,400232080X0
JUKI,400338000X0
JUKI,400408450X0
JUKI,400398900X0
JUKI,400344920X0
JUKI,400266130X0
JUKI,400348130X0
JUKI,400348140X0
JUKI,400263430X0
JUKI,400266070X0
JUKI,400348080X0
JUKI,400263700X0
JUKI,400231980X0
JUKI,400266270X0
JUKI,400344930X0
JUKI,40026626-2X
JUKI,40026626-3X
JUKI,400266240X0
JUKI,400266250X0
JUKI,400405930X0
JUKI,400337920X0
JUKI,400406010X0
JUKI,400517820X0
JUKI,400340070X0
JUKI,400549730X0
JUKI,400515240X0
JUKI,400776610X0
JUKI,B2552210D0X0
JUKI,400838850X0
JUKI,GSS29201000X
JUKI,165774050X0
JUKI,401249290X0
JUKI,40124926X
JUKI,401249280X0
JUKI,400408280X0
JUKI,401468290X0
JUKI,48A54B037X
JUKI,400344940X0
JUKI,165596010X0
JUKI,182043050X0
JUKI,400408160X0
JUKI,40157601
JUKI,40156261
JUKI,40156264
JUKI,40156268
JUKI,401453470X0
JUKI,400353320X0
JUKI,400353300X0
JUKI,170796090X0
JUKI,400348210X0
JUKI,400457500X0
JUKI,400408330X0
JUKI,400408320X0
JUKI,400882350X0
JUKI,400880290X0
JUKI,135415030X0
JUKI,400263350X0
JUKI,400515670X0
JUKI,400764750X0
JUKI,401562620X0
JUKI,400337700X0
JUKI,400348090X0
JUKI,40101287
JUKI,R4000J000ZX
JUKI,400764740X0
JUKI,400764720X0
JUKI,B11935300X0
JUKI,400408340X0
JUKI,400408350X0
JUKI,400408170X0
JUKI,113533070X0
JUKI,112227000X0
JUKI,112226010X0
JUKI,400863730X0 
JUKI,400863750X0 
JUKI,400781080X0
JUKI,40129982
JUKI,13705207
JUKI,40174358
JUKI,40039537
JUKI,40221273
JUKI,40088978
JUKI,40121231
JUKI,40105704
JUKI,40141743
JUKI,B9101490000
JUKI,40026830
JUKI,40236802
JUKI,40236803
JUKI,40015674
JUKI,40032238
JUKI,40131917
JUKI,40032167
JUKI,40025419
JUKI,400408390X0
JUKI,B1157215000
JUKI,40112104
JUKI,40121624
